用户昵称,分类,评价日期,评论
2***轩,黑色,07.25,质量不错，值得大家买                        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
朱***非,黑色,07.25,"宝贝收到了！质量真心不错哦！还带遥控器特别方便！宝贝底盘特别扎实，高大尚！喜欢喜欢    07.25解释：""深情不及久伴，厚爱无需多言~亲亲如果后续遇到产品问题可以及时联系我们在线客服，谢谢亲爱的对【美的环境电器官方旗舰店】的喜爱和支持(^ω^) """
t***3,黑色,07.26,不错挺方便，挺实用            07.26
t***7,黑色,07.24,风量大，声音小，满意        07.24
我***侠,黑色,07.29,草莓妹妹客服人不错，风扇也不错        07.29
1***酉,黑色,07.21,不错 风力很多 很凉快，小新客服也很贴心呢    07.21
w***0,黑色,07.28,用了非常满意效果真的非常好，遥控也是一样一样的好，静音模式开启的时候声音很小。    07.28
户***华,黑色,07.27,物流很快，这是我买的第二台，没什么声音，静音效果好，物有所值，五分好评        07.27
t***4,黑色,07.27,宝贝收到了有些日子来，才来平价质量非常好，风也很大，给实体店里便宜很多，服务太度也很好，下次还来买    07.27
猪***3,黑色,07.26,很好，物有超值!        07.26
点***8,黑色,07.26,挺好的哦(´-ω-`)        07.26
t***2,黑色,07.25,"挺好的，风感很好，吹着舒服。小楠客服也很贴心呢！        07.25解释：""真的很开心亲亲能喜欢它，也希望咱们这款宝贝能陪伴您度过一整个夏日哦。后续有什么问题也要记得和我们的工作人员联系，【美的环境电器官方旗舰店】期待您的下次光临哦(ˆ◡ˆԅ) """
y***u,黑色,07.28,先全五星好评！            07.28
1***n,黑色,07.27,  初次评价: 07.27此用户没有填写评论!      收货15天后追加： 好用，功能齐全        
t***6,黑色,07.25,款式好看，遥控方便，噪音太大，价格偏高    07.25解释：亲爱哒，风扇运行时电机处在高速运转的状态下，档位越高，风速就越大哈，风声风扇行业都无法避免哈，建议睡眠时可以选择静音模式，静音档比正常风的最低档的噪音还低，比其他同品牌同档位的噪音低哈，我们仍会继续加油，力求在静音方面做得更完美，同时也期待您的下次光临~~
我***x,黑色,07.26,外观与描述一样，好看！静音下声音很小，希望可以耐用    07.26
a***4,黑色,07.27,很好，非常满意，而且静音，风力很大。        07.27
t***0,黑色,07.24,风力很大。快递很快。非常满意。性价比很高。一下子买了两台。都非常的满意。商家服务态度也很好。五星好评。                    07.24
天***莫,黑色,07.26,机器非常不错        07.26
t***8,黑色,07.22,质量很好，也好凉快，而且有摇控器，非常方便，小妹好贴心                07.22
c***5,黑色,07.29,下午收到迫不及待的组装起来了，风力很大，外表美观大方，美的大品牌值得信懒！    07.29
h***6,黑色,07.24,很满意，下次需要再向你买。        07.24
t***2,黑色,07.25,第二次买了好用服务好快递快        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
丫***菇,黑色,07.26,挺喜欢的  啊哈哈哈哈哈哈哈哈哈嗝            07.26
猪***0,黑色,07.26,电扇好用，风大        07.26
侯***6,黑色,07.25,还不错，风很大        07.25
肥***吃,黑色,07.29,不错，风很大，下次再买。        07.29
不***斯,黑色,07.27,又买了一台，挺好的        07.27
l***2,黑色,07.20,  初次评价: 07.20宝贝非常不错，价格又优惠，已经第二次购买了          收货当天追加： 已经是第二次购买了，宝贝真心不错哦，风大静音，真的说是物廉价美，而且小飞妹妹非常贴心哦 一次不错的网购！            
z***1,黑色,07.23,买了两台风扇，这台黑色的放在客厅使用，带遥控器，可以坐在沙发上遥控，还是很方便的，风力也还不错，感谢客服小飞的及时回复满意的一次购物。            07.23
艾***9,黑色,07.24,美的风扇是挺好的，风大声音小，小飞妹妹的服务比较贴心，值得购买            07.24
t***3,黑色,07.29,非常好，很棒        07.29
j***g,黑色,07.26,质量很好。相信美的        07.26
n***3,黑色,07.28,很好用ヾ ^_^♪，风大给家里老人买的，方便安装，质量不错值得购买    07.28
可***8,黑色,07.25,宝贝收到，经典黑大气上档次，功能和描述的一样，遥控用着很方便，经济实惠值得购买    07.25
洪***6,黑色,07.26,很不错！这个价钱值了        07.26
z***b,黑色,07.19,收到宝贝，一会儿就安装好了，中午使用了一下，真心不错，物流也快，下次需要电器就你们家了        07.19
天***呵,黑色,07.20,用了两天了感觉质量很好，风力很大，而且比较静音，不亏是老品牌的        07.20
t***0,黑色,07.15,高端大气上档次，质量过硬，带遥控，使用起来更方便，需要的赶快下单吧    07.15
w***9,黑色,07.26,第二次购买了。搞活动买的，价格也比较实惠。美的老品牌。质量没的说。    07.26
b***8,黑色,07.27,物流快速，风扇美观大方，安装方便，使用效果不错！好评！    07.27
韩***5,黑色,07.24,宝贝很好用，值得购买        07.24
t***8,黑色,07.27,感觉还可以                07.27
t***3,黑色,07.13,  初次评价: 07.13此用户没有填写评论!      收货21天后追加： 好漂亮，好控制，好扛揍，好耐用，有遥控，很方便。又经济，又实惠。再也不用，爬起来关电风扇了。他在家中还有一个兄弟。他们相爱相杀，甚得我心。                
小***海,黑色,07.28,很满意真心的满意！我很少去评价东西。因为忙⋯这风扇真的很好已经用了半个月了。一直都支持美的品牌。棒棒的    07.28
中***会,黑色,07.22,一收到风扇就组装好试用了，效果不错，一次满意的网购，还是品牌货好        07.22
柠***3,黑色,07.26,风力大，挺好的，各方面还算不错，很好的，物流速度可以四天这样到了            07.26
安***学,黑色,07.21,电风扇质量很好，特别是配制的摇控制器操作是特别方便！        07.21
t***2,黑色,07.29,电风扇收到了，外形美观，风也大小可调，很满意的一次购物。    07.29
莫***婷,黑色,07.25,用了一个礼拜才来评价。风扇应该是美的正品的，组装起来还是比较简单的。卖家发了组装视频，十多分钟就能装好了。风扇吹起来很舒服，遥控器用起来很方便，很喜欢静音模式，平常就喜欢用静音模式的风。目前还没发现什么鸡肋的地方，看看以后的体验吧。    07.25解释：亲，您是个非常好的顾客，感谢您喜欢我们的产品，希望它能给您的生活带来欢乐！亲在使用中有任何疑问，随时联系我们，相信我们会做的更好，用心打造品牌~！
t***4,黑色,07.18,  初次评价: 07.18此用户没有填写评论!      收货21天后追加： 用着不错        
喜***色,黑色,07.25,超级好用        07.25
1***丹,黑色,07.17,买家电我喜欢买牌子的，189买的，感觉还不错！        07.17解释：感谢您对美的环境电器官方旗舰店的认可和支持，我们将会秉承“顾客第一，服务第一”的宗旨，全心全意为您服务，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
秀***宝,黑色,07.12,牌子的用起来比较放心，发货速度快质量很好三两下装好了用起来    07.12
秀***6,黑色,07.14,物流神速，只隔了一天就到了！原先家里有一台美的的，又想买一台还是觉得美的的放心！不错很好！        07.14
暂***春,黑色,07.22,美观大气，很实用，真的很好，用了一段时间来评价的，价廉物美。五星好评            07.22
y***7,黑色,07.26,美的大品牌，值得信赖！        07.26
c***3,黑色,07.27,买第五台了，质量杠杠的，价格实惠！ps小贤也很贴心哦    07.27
小***你,黑色,07.28,收到后没有立刻评价，特意试了几天之后才评价的。风力挺大的。    07.28
n***0,黑色,07.22,今天收到，马上装好真不错，安装简单👍👍👍        07.22
y***0,黑色,07.18,风扇外观漂亮，风力有好几个选择，用了一段时间了还可以        07.18
小***丢,黑色,07.19,很好用，又实惠，喜欢，比在店里买的便宜，这个适合客厅，静音风相比有些稍微大了一点点，大卧室就很好，小卧室还可以再偏小一点风力    07.19
t***5,黑色,07.21,确实很好用，主要是声音不大！看上去也比较高档    07.21
风***1,黑色,07.18,两年前在这店买了一台风扇，质量到现在还好的不得了，儿子要我给他也买一台，结果没有令我希望，质量一样的好，必须好评。图片1为两年前买的，图2为新买的，我就随便拍了两张图给大家对比，有需要的话还会再来的。            07.18
等***5,黑色,07.26,还不错        07.26
t***3,黑色,07.24,挺好用的        07.24
雨***2,黑色,07.24,一收到货老公就安装上了，感觉还不错，风力很大，挺厚重的，真的是一分钱一分货，前天下午买的，隔天就送到了，真快，十分好评。。。        07.24
z***7,黑色,07.25,很好的，装好了，式样颜色风速风声都好，赞！还要给物流师傅点赞，大热天亲自送上门，谢谢啦！合作愉快！    07.25解释：亲爱的~感谢您选择美的选择美的环境电器官方旗舰店~亲爱的~感谢您选择美的选择美的环境电器官方旗舰店 亲爱的，很高兴您选择美的宝贝成为您家庭中的一员，我们的的服务宗旨是：买的开心、用的舒心、售后放心、有任何不明白的随时联系我们的在线客服或者拨打我们的售后400-889-9315电话咨询哦~！祝亲和亲的家人生活愉快，幸福美满~！
y***2,黑色,07.24,物流超快，下午下单，第二天上午就收到了，很满意，使用效果很好，风量大，噪音可以接受，很愉快的一次购物    07.24
黄***3,黑色,07.24,感觉还好        07.24
海***0,黑色,07.24,电风扇超级给力，组装简单，静音效果很好，没啥声音，吹的风也舒服。好评先。    07.24
真***u,黑色,07.22,宝贝收到了，快递很给力安装方便快捷，美观大气风量足，很满意的一次购物。                        07.22
秦***8,黑色,07.23,风力很大、吹起来很凉快，质量很好下次有需要还会在来。            07.23
t***9,黑色,07.27,非常值得购买，质量好。        07.27
t***4,黑色,07.29,风力大  实物和照片一样，想着拍照片和视频老是忘，总之我给五星好评，推荐购买。    07.29
手***z,黑色,07.29,装好了，质量很好，功能齐全，颜值也高，应该是美的正品。    07.29
j***h,黑色,07.23,不错挺好用的，去年给老妈家买的，今年自己家也来一台        07.23
t***3,黑色,07.26,挺好的        07.26
t***9,黑色,07.28,挺好的        07.28
李***南,黑色,07.18,  初次评价: 07.18此用户没有填写评论!      收货21天后追加： 宝贝是性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。        
唯***苦,黑色,07.24,第二个了，好用        07.24
t***8,黑色,07.24,去年买了一把，好用，今年又买一把。声音小，风大，关键是风辐射的范围比较广。客服小飞妹妹很贴心        07.24
沐***图,黑色,07.29,电风扇外观设计好看，质量不错，风力很大，真心喜欢，值得购买    07.29
大***街,黑色,07.24,用过之后再来评价，风扇真的不错，配得起＂物美价廉＂这四个字，一直都是用这个牌子的，以后会继续支持。    07.24
大***3,黑色,07.19,五星好评，电风扇很好 发货速度很快。到货速度也快。美的这个品牌值得信赖。不管是质量方面还是什么都挺好。                07.19
t***2,黑色,07.24,宝贝收到了，非常满意，风速非常大，调小调大都可以，还有一个遥控，超级喜欢，还打算入手一台，以后就买你家的啦。    07.24
嘉***佳,黑色,07.27,刚收到货，安装方便，装好了试了机，风速力很大，吹起风来舒爽    07.27
t***4,黑色,07.28,第二次买了        07.28
t***0,黑色,07.26,风扇已经用了几天了，物流很快，自己安装的简单，遥控的特别方便，好评        07.26
游***军,黑色,07.20,宝贝收到了，放到店里面太好了，一下凉快多了，一百多块钱能买到这么好的东西真的是太划算了。        07.20
爱***9,黑色,07.21,宝贝挺好，风力大，棒棒哒！一直很信任这个牌子的☞        07.21
粉***主,黑色,07.25,第二次购买了，去年买过一台，今年给婆婆家也买了一台，质量不错，美的大品牌值得信赖！    07.25
t***2,黑色,07.28,风扇用着挺好的，价格比门店便宜许多，静音效果很好    07.28
彭***红,黑色,07.24,风扇非常不错 价格实惠 质量保证 物流发货速度很快 派送的也及时 非常喜欢 满意    07.24
汽***员,黑色,07.18,  初次评价: 07.18此用户没有填写评论!      收货21天后追加： 还不错，值得购买！        
j***9,黑色,07.25,客服标标服务态度特别好，风扇质量也很不错。爸爸看见了很喜欢也要买一个，希望还是一如既往的好，还会在来的    07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
e***8,黑色,07.25,质量不错、最满意的地方就是静音效果好，不像传统风扇那么吵    07.25
t***3,黑色,07.26,收到风扇好几天了，超级静音。质量也特别好，家里人都非常满意。    07.26
胡***方,黑色,07.24,风扇非常好👍和卖家描述一致，适合各方面需要。使用时几乎没有噪音，经常忘记关闭，物美价廉。    07.24
小***4,黑色,07.23,风扇整体还不错 组装也方便 风力足…        07.23
顺***6,黑色,07.21,电扇好用声音很轻，己是第二次购买，如需要还会光顾        07.21
当***4,黑色,07.23,无噪音，风吹着很舒服，和实体店一样。                        07.23
韦***1,黑色,07.27,物流很快，第二天就到了。美的老牌很好，帮朋友买的装好后用的很滿意，风大，静音。有摇控很方便，总之朋友说好就行。好评！    07.27
a***6,黑色,07.19,琢磨了一下安装好了，风力很大，美的还是值得信赖，模仿自然风模式也挺好使的。    07.19
t***1,黑色,07.29,东西不错值得拥有，遥控比较人性化。    07.29
r***s,黑色,07.28,宝贝和描述的一样很好，收藏此店以后还会光顾。    07.28
a***安,黑色,07.25,东西还不错，价格实惠，值得推荐购买！    07.25
铁***o,黑色,07.26,东西不错哦，遥控用起来非常方便，智能便捷于一体的好宝贝，恰噶    07.26
t***0,黑色,07.29,风扇收到就立马装好，扇了几天才来评价，很好，声音蛮小值得购买    07.29
t***0,黑色,07.20,美的风扇就是好声音小质量好下次还光顾这家店给赞！        07.20
快***9,黑色,07.29,目前使用很正常，外观也漂亮，希望使用时间能长点    07.29
t***1,黑色,07.27,美观大方、风速大、遥控器灵活、很方便、值得购买！    07.27
t***6,黑色,07.04,收到宝贝了，卖家发货快，物流也快。很好组装很简单。底盘重很稳固，风速很大。想睡 眠 时超静音，遥控器也非常好用。颜色也特别喜欢。相信大品牌的质量真的非常好！需要的亲们可以放心购买吧！非常满意！值得购买！        07.04解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
矿***1,黑色,07.14,很好用 风大小能调 要是能送遥控器电池就完美了    07.14
虚***2,黑色,07.27,拍下的宝贝物美价廉，超划算、超满意，美的一直值得信赖，感谢淘宝这个平台。    07.27
y***睛,黑色,07.29,刚刚拿到自己看说明书半个小时就装好了，哈哈，好崇拜自己。    07.29
t***1,黑色,07.26,立体电风扇收到量不错颜色很正风力大是一次满意的购物    07.26
t***4,黑色,07.25,东西不错，安装便捷，价格比实体店便宜！一次愉快的购物体验，赞👍    07.25
c***0,黑色,07.25,东西非常不错，用了几天下来，质量还是有保证    07.25
l***8,黑色,07.27,很好！风扇很凉快！        07.27
血***6,黑色,07.28,  初次评价: 07.28此用户没有填写评论!      收货15天后追加： 不错，风扇风很大，看起来比较高大上，又比实体店便宜很多，还要多买两部    
w***1,黑色,07.23,宝贝收到后迫不及待的就开始使用了，安装简单，方便。好评        07.23
子***m,黑色,07.29,好东西值得分享！电扇很好，基本没声音，晚上用不影响睡眠。    07.29
相***吧,黑色,07.13,收到货第一时间就把它装起来啦打开吹了一下感觉还不错好评美的    07.13
郑***枚,黑色,07.26,风扇非常好，很凉快，物流也很快，满意。        07.26
x***1,黑色,07.25,电风扇收到了，外观我喜欢，美的电风扇品牌就是信得过的好评，组装也简单：    07.25
t***1,黑色,07.15,宝贝收到了，这是第二次购买美的风扇了，风力很大，没有噪音，颜色也漂亮，美观大方，比实体店便宜多了，带遥控功能的用起来很方便，真的很划算，要买的赶紧哦！！满意！！满意！！        07.15
t***1,黑色,07.20,风扇收到，已装好。很给力，风力不错，好评！        07.20
漂***5,黑色,07.25,外观不错，使用效果也很好，可以放心购买！    07.25解释：您好亲，当我们看到好评的那一瞬间，很激动哦，因为您的肯定就是对我们最大的支持和鼓励。您的好评对我们来说就是一盏明灯，时刻指引着我们向更高的标准前进，为了达到您的更高要求，我们时刻不断的改正自己，不断的完善自己，这也是对我们可爱的顾客----您---最大的回报。我们时刻会记得您对我们的支持，希望您也记得有一个期待者在时刻期待您的再次光临。祝您心情愉快！~~
瑶***兽,黑色,07.18,完全好评，先是买了两台，质量很好，我又买了两台给父母，好评        07.18
夕***8,黑色,07.04,宝贝收到了。物流很快，包装严实无破损。风扇颜值高，很喜欢。一开始担心自己不会组装，根据客服给的组装视频，很快就组装好了。风扇轻巧不笨重，功能很齐全，还配有遥控装制，风速大小可调，静音状态基本无噪音。第一次网购电器，很满意，五星好评。                    07.04解释：非常感谢亲对美的认可和支持，我们将会更加努力为大家提供更高、更优质的服务和产品。我们的服务宗旨是买的放心、用的舒心、售后宽心！美的环境电器官方旗舰店一直以信誉第一，顾客至上的经营理念，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
t***3,黑色,07.15,这段时间工作实在是太忙了，没来得及评论，我的家电一直用的都是美的，空调也是，款式大方，静音，很好用，不愧是大品牌，值得购买    07.15
3***1,黑色,07.21,宝贝收到，质量很好，值得拥有！小飞客服妹妹很贴心的啊                    07.21
小***所,黑色,07.16,质量非常好，噪音没有那么太大，特别稳。这回上厕所再也不担心会热了    07.16
彬***b,黑色,07.28,是给姐姐买的，她说不错，经济又实惠。    07.28
t***8,黑色,07.12,电扇非常好，有九档风力，风力也足够大，遥控器也很灵敏，总之，很值，很棒！！！    07.12
d***7,黑色,07.29,  初次评价: 07.29此用户没有填写评论!      收货1天后追加： 给我妈家新房买的很好组装用的还不错，价格也很实惠值得购买    
c***1,黑色,07.21,风力强，噪音小。    07.21
j***6,黑色,07.27,美的我的首选，家里一切电器都选美的，我会直用下去    07.27
h***h,黑色,07.23,已经安装好了，还不错哦        07.23
b***城,黑色,07.23,非常完美 晚上睡觉自己智能进入睡眠模式 我不知道形容 产品好 值得购买        07.23
花***2,黑色,07.26,买了两个了，用着非常的劲儿，可以随心所欲调节，方便的很，质量也很好，可以给个好评    07.26
孙***4,黑色,07.25,风扇收到啦，经典的黑色，不错，风类风速都有选择，很不错    07.25
y***0,黑色,07.27,宝贝收到了，安装很简单，风速很nice，总之，整体使用感受很棒，值得入手的宝贝。    07.27
z***0,黑色,07.24,风扇收到了，试了一下风速有几种，跟描述的一样很满意…  好评    07.24
大***8,黑色,07.27,已收到，外观大气风速强劲，品牌值得信赖，又下单买了一台，    07.27
骆***☆,黑色,07.19,真好用，高大上，跟描述的一样好            07.19
t***2,黑色,07.29,美的电风扇切实很不错，已经是第二次购买。下次有需要的话，还会再来的。全给五分好评。    07.29
上***雪,黑色,07.25,商品：前几天买的这款风扇，确实不错啊，静音效果也不错，大品牌值得信赖服务：服务也不错哦    07.25
金***3,黑色,07.24,商品：一直喜欢这个牌子，风大静音好用耐用，设计美观。服务：发货快。    07.24
y***5,黑色,07.19,宝贝收到了，非常满意，价格比实体店优惠好多，还带遥控，很方便，美的大品牌，值得信赖，谢谢客服的耐心解答                07.19
巧***赖,黑色,07.18,  初次评价: 07.18此用户没有填写评论!      收货25天后追加： 质量好品牌的力量，风大睡觉用不合适，最低档风也很大，放客厅效果很好    
5***镐,黑色,07.21,超级好！支持大品牌！炎热夏季 解救人类“小飞”客服妹妹也很贴心哦 .解答很清晰！赞！                    07.21
y***0,黑色,07.25,质使用了一段时间，质量很好，风可大可小，功能多，遥控非常方便，风扇使用声音小，非常不错    07.25
幸***2,黑色,07.24,给妈妈买的，老人家很喜欢！颜值也不错，重点是安装很方便    07.24
馨***0,黑色,07.27,很好，风很大很凉爽        07.27
霜***d,黑色,07.12,风扇收到了，超满意可调静音风力很长，满意的一次购物，希望耐用    07.12
梦***1,黑色,07.27,风扇收到了，一：底座特别稳，二：质量不错，风很大，三：颜色很喜欢，非常开心的一次购物！    07.27
t***8,黑色,07.29,一直觉得美的这个品牌不错，遥控器没有电池还没用，个人觉得遥控器没多大用        07.29
爱***m,黑色,07.25,好用，值得购买        07.25
l***7,黑色,07.22,商品：很好，风力很大，外观高大上，老婆说很好看，这个价钱能买到值了，还配了遥控器，好像还有记忆功能，摇头打破传统不再是按钮的了，真不错服务：很好    07.22
n***妈,黑色,07.24,2年前买了一台美的遥控电风扇，至今仍然完好。静音舒睡，风力随心操控，质量值得信赖。这次一下买2台，将家里机械式的电风扇全部换代，方便好用的。    07.24
龙***3,黑色,07.29,风扇很好，拿回来就装上，看起来很大气    07.29
t***9,黑色,07.24,还可以，满意！        07.24
尹***梦,黑色,07.20,第二次购买了风扇风很大很好用有遥控器也很方便。小笙“客服很不错， 机器非常不错        07.20
亲***贝,黑色,07.18,风扇到了用了有一段时间了，忘了来给评论了，风扇很好用风力大小可以调换，另外小飞客服也很好，给个好评            07.18
智***英,黑色,07.25,美的电风扇很好用，风大静音效果不错，老人小孩都会用    07.25
心***8,黑色,07.22,收到就安装好了 还好        07.22
t***6,黑色,07.19,不错拿回家立马装上了，还有遥控，美的风扇家里有两台了已经信任这个牌子。            07.19
l***g,黑色,07.26,外形美观，高端大气。静音，五分好评    07.26
昨***南,黑色,07.27,很不错，声音小，风力大， 没看说明书，自己很快安装好了    07.27
小***9,黑色,07.17,  初次评价: 07.17此用户没有填写评论!      收货21天后追加： 美的大品牌，风大静音，家里美的风扇用了十年，现在坏了换新的，希望好用十年！        
t***5,黑色,07.28,风扇质量很好价格便谊，风力很大，静音效果好。    07.28
蓝***i,黑色,07.29,吹了一段时间再来评价的，安装简单，风大，声音能接受，多少风类可以选择    07.29
w***1,黑色,07.21,分力很大，可以分几个档的，爸爸说挺好的，很满意        07.21
c***1,黑色,07.21,风扇用后方知道凉爽的赶脚！相当不错，风力强劲，这个热天气我不怕了！😁        07.21
c***媛,黑色,07.29,东西不贵，品质也不错👍如有需要还会再次购买    07.29
小***妮,黑色,07.25,收到货已经用了几天了，质量杠杠的，想买的亲们可以入手哦    07.25
萌***4,黑色,07.27,风很大，我信任美的牌耐用实惠    07.27
王***9,黑色,07.19,风力很大，美观，组装方便        07.19
黄***2,黑色,07.27,大牌子就是好，风扇非常好，已经安装上了，正在使用，非常好，声音不大，风力很大，草莓客服非常热情    07.27
c***m,黑色,07.19,“鸭梨“客服很不错， 机器非常不错，很实用，质量不错，风力也大。        07.19
海***吧,黑色,07.09,美的电风扇不愧是大牌子 ，质量杠杠滴，值得信赖，家里好多电器都是美的牌子。去年买了一台这样的风扇，感觉不错，今年再添一台放客厅里使用。吹空调对身体不利，还是风扇的自然风好。价格实惠比实体店便宜很多呢。推荐购买！        07.09解释：非常感谢亲对美的认可和支持，我们将会更加努力为大家提供更高、更优质的服务和产品。我们的服务宗旨是买的放心、用的舒心、售后宽心！美的环境电器官方旗舰店一直以信誉第一，顾客至上的经营理念，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
你***啦,黑色,07.18,风扇很好，物流很快，好便宜，还带遥控器，这下高大上了😄静音也可以            07.18
n***妈,黑色,07.24,2年前买了一台美的遥控电风扇，至今仍然完好。静音舒睡，风力随心操控，质量值得信赖。这次一下买2台，将家里机械式的电风扇全部更新换代，改换成方便好用的。    07.24
c***o,黑色,07.25,买给妈妈用的，她的反馈是好用方便，风也大，外观也耐脏。    07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
妍***8,黑色,07.19,电风扇确实是很不错，大档风力很大，满意！以后需要还会再来        07.19
菠***6,黑色,07.27,宝贝作工精良，安装方便，赞    07.27
t***7,黑色,07.20,蛮好的，很快就装好了            07.20
l***0,黑色,07.20,好的很，已经买第三个，自己家两个，又给亲戚买了一个，物流快，质量好，服务也好，非常满意，以后还会光顾的。        07.20
我***想,黑色,07.26,风扇很不错，是正品，爸妈用着说很好！风力可以，声音不大！值得推荐！    07.26
s***n,黑色,07.24,风扇质量不错，风吹的效果也很好    07.24
幸***起,黑色,07.27,风扇质量很好，老妈说低档风很温和！    07.27
百***金,黑色,07.19,第二次购买了，质量没得说!        07.19
h***7,黑色,07.29,风扇很好用，风力大，声音可以接受，价格亲民，非常满意！    07.29
林***贵,黑色,07.19,用了半个月才来评论，值得拥有，商品如店家描述的一致！😃😃😃        07.19
开***冠,黑色,07.25,物流快速，服务细心周到，风扇性价比超高，好用，还会再来    07.25
拉***9,黑色,07.23,风扇好评，发货又快！比实体店划算        07.23
汪***0,黑色,07.27,客厅用还蛮大风的，遥控也很便捷，老公觉得还不错    07.27
t***0,黑色,07.28,特别喜欢的一款宝贝，安装方便，风力十足，有了它，你会清凉一夏！关键快递还快，两天就到货了！赞赞赞    07.28
可***贝,黑色,07.19,不错不错已经是第二次买了，有需要还会光顾        07.19
h***o,黑色,07.20,很喜欢，很大气，上档次，搬了新家一次买了两个，跟实用👍            07.20
山***0,黑色,07.13,好评，快递物流很给力，发货速度很快，这款是遥控的，风力很大也能支持睡眠时静音模式，美的牌子很耐用，可以放心购买。    07.13
中***8,黑色,07.29,我对产品非常满意，各方面功能都很好，很棒。    07.29
叶***李,黑色,07.25,物超所值，美观，时尚，静音，遥控的也特方便    07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
曾***3,黑色,07.26,值得购买、安装很方便、很好用、价格也不贵、质量很好、客服小贤也很贴心    07.26
最***文,黑色,07.25,非常满意！        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
a***4,黑色,07.21,风扇很漂亮，也很好安装，风力大噪音小，还可以预约定时很方便！        07.21
明***r,黑色,07.25,不用你们催好评。。。。觉得宝贝好自会好评谢谢！爸比很满意这款风扇！    07.25解释：非常感谢亲的支持哦，您的满意是我们最大的动力~我们一定会做得更好的~~使用好的话还请亲介绍亲朋好友到小店来购买哈！么么哒哈~如产品在使用中有什么问题可以随时咨询客服哦，“放心选择，用美的，生活更美的”！
怀***慕,黑色,07.23,风扇很好，风力也大，品牌就是不一样喔！👍👍        07.23
上***0,黑色,07.28,相信美的品牌，之前家里风扇也是美的。已用了两天，声音轻，送风柔，很舒适，满意。下次要买还是美的。    07.28
t***2,黑色,07.25,东西很好，就是对我们老年人组装起有点麻烦希望我年轻点做事方便点。一切安好祝生意兴隆越做越好。拜拜    07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
r***1,黑色,07.26,风扇还不错是，因为是寄回家给父母的，所以没有拍图片，物有所值，价廉物美，还会回购的。    07.26
y***5,黑色,07.20,风扇性价比很高，小飞客服妹妹也很贴心哦！                07.20
寻***3,黑色,07.27,小笙服务很好 卖家打包的很好，发货速度很快，各方面都很好 全五分好评    07.27
我***头,黑色,07.27,挺好的，一级能耗        07.27
h***3,黑色,07.24,这个价钱买到还不错，风速很大，没什么噪音    07.24
梦***海,黑色,07.24,不错  已经第三次购买了 以前都是给父母买的  这次自己用  真心不错哦    07.24
东***猴,黑色,07.18,装好了，棒棒的，风大声小。好评！        07.18
圣***7,黑色,07.20,安装简单，风力实足！价格实惠！时尚简约放在房间里很搭！非常满意！    07.20
小***米,黑色,07.27,很棒，用了一阵子。就是风太大，静音太静(๑>؂<๑）需求都能满足    07.27
z***9,黑色,07.23,入手第二台了，风力大，静音还不错，好评哟！            07.23
